Prix,Annee,Auto_manuel,Carburant,Marque,Module,Nombre de portes,Première main,Etat,Kilometrage,Puissance_fiscale
320000,2022,Automatique,diesel,Volkswagen,Tiguan,5,Oui,Excellent,104999,8
345000,2014,Automatique,diesel,Land Rover,Range Rover Sport,5,Oui,Excellent,164999,12
159000,2021,Automatique,diesel,Dacia,Duster,5,Non,Très bon,97499,6
206000,2021,Automatique,hybride,Toyota,Corolla,5,Oui,Excellent,62499,9
206000,2023,Manuelle,diesel,Jeep,Renegade,5,Oui,Excellent,52499,6
145000,2022,Manuelle,diesel,Renault,Express,3,Non,Très bon,97499,6
248000,2016,Automatique,diesel,Mercedes-Benz,220,5,Oui,Très bon,104999,9
223000,2023,Automatique,diesel,Ford,Focus,5,Oui,Excellent,72499,6
105000,2014,Automatique,diesel,Alfa Romeo,Giulietta,5,Oui,Excellent,194999,8
139000,2021,Manuelle,diesel,Renault,Clio,3,Non,Très bon,104999,6
139998,2022,Manuelle,diesel,Dacia,Sandero,5,Non,Très bon,124999,6
108998,2022,Manuelle,essence,Kia,Picanto,5,Non,Très bon,104999,6
109000,2018,Manuelle,diesel,Citroen,C3,5,Non,Très bon,104999,6
100000,2017,Manuelle,diesel,Ford,Fiesta,5,Non,Très bon,124999,6
145000,2022,Automatique,essence,Fiat,500,5,Non,Très bon,62499,7
115000,2010,Automatique,diesel,Land Rover,Range Rover Sport,5,Non,Très bon,224999,12
297997,2022,Automatique,diesel,Hyundai,Tucson,5,Oui,Très bon,114999,6
59000,2009,Manuelle,essence,Nissan,Micra,5,Non,Bon,114999,8
169000,2022,Manuelle,diesel,Renault,Express,5,Non,Excellent,144999,6
192998,2021,Automatique,diesel,Dacia,Duster,5,Oui,Très bon,124999,6
39000,1989,Manuelle,essence,Renault,R4,5,Non,Bon,324999,6
75000,2007,Automatique,diesel,Hyundai,Santa Fe,5,Non,Très bon,274999,9
103000,2016,Manuelle,essence,Opel,Adam,3,Oui,Excellent,87499,8
108000,2019,Manuelle,diesel,Renault,Clio,5,Oui,Bon,164999,6
215000,2020,Automatique,diesel,Volkswagen,Golf 7,5,Non,Très bon,82499,8
120000,2012,Manuelle,diesel,Volkswagen,Passat,5,Non,Excellent,184999,8
170000,2019,Automatique,diesel,Renault,Megane,5,Non,Excellent,97499,6
