Prix,Annee,Auto_manuel,Carburant,Marque,Module,Nombre de portes,Première main,Etat,Kilometrage,Puissance_fiscale
720000,2021,Automatique,Diesel,Mercedes-Benz,Classe GLE,5,Oui,Excellent,62499,8
600000,2019,Automatique,Essence,Porsche,Macan,5,Oui,Excellent,72499,11
530000,2017,Automatique,Diesel,Mercedes-Benz,Classe GLC,5,Oui,Très bon,184999,8
585000,2021,Automatique,Essence,Audi,Q3,5,Non,Excellent,97499,11
650000,2022,Automatique,Hybride,Mercedes-Benz,Classe E,5,Oui,Excellent,62499,8
800000,2025,Automatique,Hybride,Jeep,Wrangler,5,Oui,Neuf,2499,7
1650000,2023,Automatique,Essence,Cadillac,Escalade,5,Oui,Excellent,12499,24
490000,2023,Automatique,Electrique,Tesla,Model 3,5,Oui,Excellent,12499,4
479000,2018,Automatique,Diesel,Land Rover,Range Rover Velar,5,Non,Excellent,87499,8
540000,2019,Automatique,Diesel,Land Rover,Range Rover Sport,5,Non,Excellent,124999,12
500000,2018,Automatique,Diesel,Land Rover,Range Rover,5,Oui,Excellent,104999,12
685000,2021,Automatique,Diesel,Kia,Sportage,5,Oui,Très bon,77499,12
639000,2018,Automatique,Diesel,Porsche,Panamera,5,Oui,Très bon,77499,17
859000,2023,Automatique,Diesel,BMW,X6,5,Oui,Très bon,52499,12
579000,2020,Automatique,Diesel,Mercedes-Benz,Classe GLE,5,Oui,Très bon,72499,8
539000,2021,Automatique,Diesel,Volkswagen,Touareg,5,Oui,Très bon,82499,12
550000,2021,Automatique,Diesel,Jeep,Wrangler,5,Oui,Excellent,82499,9
690000,2019,Automatique,Diesel,Land Rover,Range Rover Sport,5,Non,Excellent,144999,12
510000,2022,Automatique,Diesel,BMW,X3,5,Oui,Très bon,47499,8
487000,2023,Automatique,Diesel,Mercedes-Benz,Classe CLA,5,Oui,Excellent,104999,8
780000,2016,Automatique,Essence,Mercedes-Benz,Classe S,3,Oui,Excellent,92499,22
850000,2018,Automatique,Diesel,Porsche,Panamera,3,Oui,Excellent,72499,17
545000,2019,Automatique,Diesel,Mercedes-Benz,Classe CLS,5,Non,Très bon,114999,11
650000,2021,Automatique,Diesel,Land Rover,Range Rover Sport,5,Oui,Excellent,67499,12
655000,2021,Automatique,Diesel,Mercedes-Benz,Classe C,5,Oui,Excellent,57499,8
1780000,2022,Automatique,Diesel,Dacia,Duster,5,Oui,Très bon,97499,6
490000,2023,Automatique,Diesel,Land Rover,Range Rover Evoque,5,Non,Excellent,52499,8
640000,2021,Automatique,Diesel,Land Rover,Range Rover Sport,5,Non,Excellent,72499,12
649998,2023,Automatique,Diesel,Mercedes-Benz,Classe C,5,Oui,Excellent,27499,9
750000,2019,Automatique,Essence,Land Rover,Range Rover,5,Oui,Excellent,72499,29
580000,2020,Automatique,Hybride,Porsche,Cayenne,5,Oui,Très bon,194999,17
630000,2021,Automatique,Essence,BMW,Série 3,5,Oui,Excellent,77499,17
500000,2019,Automatique,Diesel,Land Rover,Range Rover Sport,5,Non,Excellent,124999,12
530000,2020,Automatique,Essence,Porsche,Macan,5,Non,Excellent,77499,11
480000,2019,Automatique,Diesel,Mercedes-Benz,Classe E,3,Non,Excellent,134999,9
525000,2022,Automatique,Diesel,Mercedes-Benz,Classe E,5,Oui,Excellent,62499,8
660000,2019,Automatique,Diesel,Land Rover,Range Rover Sport,5,Oui,Bon,144999,12
840000,2023,Automatique,Electrique,Mercedes-Benz,EQE,5,Oui,Excellent,22499,16
475000,2018,Automatique,Diesel,Mercedes-Benz,Classe E,5,Oui,Excellent,124999,9
760000,2023,Automatique,Essence,Audi,Q3,5,Oui,Excellent,22499,14
485000,2019,Automatique,Diesel,Land Rover,Range Rover Sport,5,Oui,Excellent,134999,12
475000,2021,Automatique,Diesel,Mercedes-Benz,Classe CLA,5,Oui,Bon,474999,8
675000,2022,Automatique,Diesel,Audi,Q5,5,Oui,Excellent,57499,8
590000,2021,Manuelle,Diesel,Mercedes-Benz,Classe GLE,5,Non,Excellent,82499,8
980000,2021,Automatique,Hybride,Porsche,Cayenne,5,Oui,Très bon,67499,17
569000,2023,Automatique,Diesel,BMW,X5,5,Oui,Excellent,42499,8
570000,2022,Automatique,Diesel,Audi,Q7,5,Oui,Très bon,57499,12
600000,2020,Automatique,Diesel,Land Rover,Range Rover Sport,3,Oui,Excellent,104999,12
560000,2019,Automatique,Diesel,Volkswagen,Touareg,5,Oui,Bon,104999,12
555000,2024,Automatique,Diesel,Audi,A6,5,Oui,Neuf,2499,8
890000,2022,Automatique,Diesel,Audi,Q5,5,Oui,Très bon,97499,12
700000,2019,Automatique,Diesel,Audi,Q8,5,Oui,Neuf,114999,12
790000,2016,Automatique,Essence,Mercedes-Benz,Classe S,3,Oui,Excellent,104999,21
579000,2023,Automatique,Essence,Jeep,Grand Cherokee,5,Oui,Excellent,7499,21
670000,2019,Automatique,Diesel,Land Rover,Range Rover Sport,5,Non,Très bon,104999,12
580000,2024,Automatique,Diesel,Volkswagen,Tiguan,5,Oui,Très bon,17499,8
495000,2018,Automatique,Diesel,Porsche,Macan,5,Non,Excellent,144999,12
479000,2023,Automatique,Diesel,Alfa Romeo,Stelvio,5,Oui,Excellent,7499,9
520000,2020,Automatique,Diesel,Land Rover,Range Rover Sport,5,Non,Excellent,104999,12
625000,2023,Automatique,Diesel,Mercedes-Benz,Classe C,5,Non,Excellent,27499,8
690000,2023,Automatique,Diesel,Audi,Q8,5,Oui,Excellent,97499,12
470000,2023,Automatique,Electrique,Hyundai,Ioniq 5,5,Non,Excellent,32499,9
770000,2020,Automatique,Diesel,Audi,Q8,5,Oui,Excellent,124999,12
530002,2023,Automatique,Diesel,Audi,Q3,5,Non,Excellent,87499,8
970000,2019,Automatique,Hybride,Lexus,LS,5,Oui,Excellent,52499,20
635000,2021,Automatique,Diesel,Mercedes-Benz,Classe E,5,Oui,Très bon,134999,9
970000,2019,Automatique,Hybride,Lexus,LS,5,Oui,Excellent,52499,20
635000,2021,Automatique,Diesel,Mercedes-Benz,Classe E,5,Oui,Très bon,134999,9
800000,2024,Automatique,Electrique,Mercedes-Benz,EQE,5,Oui,Excellent,2499,24
850000,2018,Automatique,Essence,Porsche,Panamera,5,Non,Excellent,97499,41
545000,2011,Automatique,Essence,Audi,R8,3,Non,Excellent,67499,24
630000,2018,Automatique,Diesel,Mercedes-Benz,Classe S,5,Oui,Excellent,114999,12
980000,2022,Automatique,Essence,Porsche,Macan,5,Oui,Excellent,47499,17
550000,2021,Automatique,Diesel,Mercedes-Benz,Classe GLE,5,Oui,Excellent,72499,14
480000,2021,Automatique,Diesel,Volvo,XC90,5,Oui,Très bon,154999,8
500000,2020,Automatique,Diesel,Land Rover,Range Rover Sport,5,Oui,Excellent,134999,12
750000,2020,Automatique,Diesel,Audi,Q8,5,Oui,Très bon,184999,12
500000,2022,Automatique,Essence,Jeep,Wrangler,5,Oui,Excellent,47499,11
525000,2022,Automatique,Diesel,Volkswagen,Touareg,5,Oui,Neuf,67499,12
2750000,2018,Automatique,Diesel,BMW,Série 4,5,Oui,Excellent,134999,8
640000,2021,Automatique,Diesel,Mercedes-Benz,Classe E,5,Oui,Excellent,124999,7
510000,2018,Automatique,Diesel,Mercedes-Benz,Classe E,3,Non,Excellent,92499,8
485000,2024,Automatique,Diesel,Audi,Q3,5,Oui,Excellent,27499,8
900000,2024,Automatique,Electrique,Mercedes-Benz,EQE,5,Oui,Neuf,2499,24
530000,2019,Automatique,Diesel,Land Rover,Range Rover Vogue,5,Non,Bon,114999,12
470000,2017,Automatique,Diesel,Mercedes-Benz,Classe GLE,5,Non,Excellent,144999,12
540000,2024,Automatique,Diesel,Mercedes-Benz,220,5,Oui,Excellent,27499,8
1450000,2016,Manuelle,Diesel,Ford,Focus,5,Oui,Excellent,114999,6
490000,2018,Automatique,Diesel,Mercedes-Benz,Classe E,3,Non,Excellent,134999,8
520000,2020,Automatique,Diesel,Land Rover,Range Rover Sport,5,Non,Excellent,104999,12
680000,2019,Automatique,Hybride,Audi,Q8,5,Non,Excellent,154999,12
540000,2019,Automatique,Diesel,Mercedes-Benz,Classe CLS,5,Non,Excellent,72499,12
1200000,2024,Automatique,Hybride,Porsche,Cayenne,5,Oui,Excellent,32499,23
510000,2020,Automatique,Diesel,Mercedes-Benz,Classe GLE,5,Non,Excellent,82499,8
600000,2020,Automatique,Diesel,Land Rover,Defender,5,Oui,Excellent,144999,8
600000,2020,Automatique,Diesel,Land Rover,Defender,5,Oui,Excellent,144999,8
580000,2021,Automatique,Essence,Porsche,Macan,5,Non,Excellent,62499,11
510000,2018,Automatique,Diesel,Mercedes-Benz,Classe GLC,5,Non,Excellent,134999,9
1430000,2019,Automatique,Diesel,Renault,Clio,5,Non,Excellent,62499,5
530000,2018,Automatique,Diesel,Mercedes-Benz,Classe GLE,5,Oui,Excellent,124999,12
880000,2013,Automatique,Essence,Mercedes-Benz,Classe G,5,Oui,Excellent,104999,31
560000,2022,Automatique,Diesel,Audi,Q7,3,Oui,Très bon,57499,12
2400000,2024,Automatique,Hybride,Porsche,Cayenne,5,Oui,Excellent,17499,23
890000,2022,Automatique,Diesel,Mercedes-Benz,Classe V,5,Non,Excellent,47499,14
750000,2008,Automatique,Essence,Honda,CR-V,5,Non,Très bon,92499,11
560000,2021,Automatique,Hybride,BMW,X5,5,Oui,Excellent,82499,17
549999,2019,Automatique,Electrique,Tesla,Model S,5,Oui,Très bon,47499,27
480000,2022,Automatique,Diesel,Mercedes-Benz,Classe CLA,5,Oui,Excellent,77499,8
530000,2021,Automatique,Diesel,Audi,Q4 e-tron,5,Non,Excellent,124999,8
470000,2021,Automatique,Diesel,BMW,Série 6,5,Oui,Excellent,97499,12
590000,2021,Automatique,Diesel,Ford,F150,5,Oui,Excellent,104999,12
599000,2023,Automatique,Hybride,Mercedes-Benz,Classe GLC,5,Oui,Excellent,92499,9
475000,2021,Automatique,Diesel,Volkswagen,Tiguan,5,Oui,Excellent,124999,8
